TEAMS;PTS_18/19;PTS_17/18;PTS_16/17;PTS_15/16;PTS_14/15;PTS_13/14;PTS_12/13;PTS_11/12;PTS_10/11;PTS_09/10
Barcelona;87;93;90;91;94;87;100;91;96;99
At. Madrid;76;79;78;88;78;90;76;56;58;47
Real Madrid;68;76;93;90;92;87;85;100;92;96
Valencia;61;73;46;44;77;49;65;61;71;71
Getafe;59;55;;36;37;42;47;47;44;58
Sevilla;59;58;72;52;76;63;50;50;58;63
Español;53;49;56;43;49;42;44;46;49;44
Ath. Club Bilbao;53;43;63;62;55;70;45;49;58;54
Real Sociedad;50;49;64;48;46;59;66;47;45;
Real Betis;50;60;39;45;;25;56;47;;
Alavés;50;47;55;;;;;;;
Eibar;47;51;54;43;35;;;;;
Leganés;45;43;35;;;;;;;
Villarreal;44;61;67;64;60;59;;41;62;56
Levante;44;46;;32;37;48;46;55;45;
Real Valladolid;41;;;;;36;43;;;36
Celta de Vigo;41;49;45;60;51;49;37;;;
Girona;37;51;;;;;;;;
Huesca;33;;;;;;;;;
Rayo Vallecano;32;;;38;49;43;53;43;;
Deportivo de La Coruña;;29;36;42;35;;35;;43;47
Las Palmas;;22;39;44;;;;;;
Málaga;;20;46;48;50;45;57;58;46;37
Sporting de Gijón;;;31;39;;;;37;47;40
Osasuna;;;22;;;39;39;54;47;43
Granada;;;20;39;35;41;42;42;;
Almeria;;;;;32;40;;;30;42
Cordoba;;;;;20;;;;;
Elche;;;;;41;40;;;;
Mallorca;;;;;;;36;52;44;62
Real Zaragoza;;;;;;;34;43;45;41
Racing de Santander;;;;;;;;27;46;39
Hercules;;;;;;;;;35;
Tenerife;;;;;;;;;;36
Xerez CD;;;;;;;;;;34
